Comentário;Sentimento
1. Minha taxa de retorno aos Leads está baixa sem motivo. Argumentei que sempre respondo os Leads por whatsapp e a atendente me passou que se tratava do retorno da pesquisa de satisfação dos Leads, que não é verdade. 2. Pedi os preços dos pacotes e não recebi. 3. Demoram a responder e em 15 minutos que não respondi a encerraram o atendimento. Infelizmente, atendimento muito fraco.;Negativo
Demorou muito para responder emotivo problema p outro.péssimo.;Negativo
A resposta a solicitação deveria ser mais rápida;Negativo
Obrigado. ?;Neutro
Solucionou meu problema rapidamente;Positivo
"O Gabriel foi atencioso!
Parabéns pelo seu atendimento!
Nota 10!";Positivo
Está perfeito.;Positivo
Ter um consultor nos dando um feedback de tempo em tempo se apresentando como tal e também orientando sobre como melhorar, dar atenção aos clientes e não só vender pacotes.;Negativo
mt satisfeito;Positivo
o atendente foi muito atencioso porém meu problema ainda não foi resolvido.;Neutro
Ótimo atendimento!;Positivo
"Muito obrigado amigo...
???";Positivo
Problema de nome e CRECI resolvidos, mas a integração continua dando erro. Vocês precisam verificar com a Kenlo(Antiga Ingaia) o motivo desses erros constantes.;Negativo
Aguardando o resultado;Neutro
O atendimento da Glacy foi a contento. Ainda aguardo a efetivação do estorno.;Positivo
Ótimo atendimento;Positivo
Rapidez no atendimento e conhecimento do assunto;Positivo
A atendente foi prestativa e passou as informações pertinentes, agora preciso esperar a avaliação da equipe responsável;Positivo
O atendimento tem sido demorado nas ultimas semanas, estou com um problema no portal do grupo zap com anuncios que nao estao disponiveis em meu crm e anunciam no portal prejudicando a experiencia do cliente;Negativo
Toda a equipe de atendimento deveria saber disse. Pois outra pessoa me atendeu no meu outro WhatsApp e não me deu essa informação.??;Negativo
atendente super atenciosa.;Positivo
obrigada pelo atendimento Hellen, me ajudou;Positivo
Avaliei errado;Neutro
Vou seguir a orientação e me comunicar com o suporte do meu site.;Neutro
Estou com problemas no meu canal pro de anúncios. As fotos de alguns não aparece e a nota está baixa onde tem todas as informações possíveis e quando vou editar não me permite.;Negativo
Não tive nenhuma dificuldade com atendente. Gratidão;Positivo
O prazo de atualização é de 24h, acredito que vá resolver meus problemas com o atendimento;Neutro
demora para solucionar o problema muito tempo para resolver a questão.;Negativo
Demora no atendimento e modelo engessado de atualização de anúncios via integração. Ter que aguardar até 24h para retirar ou adicionar um anúncio não é algo prático.;Negativo
Fui muito bem atendida e a explicação foi clara e objetiva dentro do que eu precisava;Positivo
muito obrigado , muito bom;Positivo
Tenho dificuldade de comunicar aí no ZAP , mais essa última atendente me recepcionou bem . E creio que resolveu;Neutro
Humanização no atendimento é o segredo para o resultado. A Glacy foi perfeita!;Positivo
Péssimo na resolução de problemas do cliente e demora em responder tanto pelo whatsapp quanto pelo e-mail.;Negativo
Nenhum!;Neutro
Eu espero que a OLX se atualize mais rápido;Neutro
Nem o email vcs responderam;Negativo
gostei do atendimento;Positivo
Otimo atendimento;Positivo
Atendimento tem que ser de pronto;Negativo
Colocar o número de contato no site facilitar a comunicação com o cliente.;Neutro
Parabéns pelo excelente atendimento.;Positivo
Não resolveram meu problema;Negativo
"Profissionais mais qualificados, 
Pois estão mais preocupados em atender a necessidade deles do que realmente atender com cliente. 
E péssimo o atendimento comercial de vocês, me desculpem.";Negativo
Poderíamos tbm trocar o status de Venda para Locação e vice versa.;Neutro
Fiquei 1:30 em espera;Negativo
A opção RENOVAÇÃO AUTOMÁTICA deveria vir sempre desmarcada, evitando futuros problemas com renovações indesejadas, como está sendo no meu caso. O cliente é que precisa se manifestar dizendo q quer q o seu anúncio seja renovado, e não o contrário. Isso está errado!!;Negativo
Acredito que o tempo de espera para ser atendido, poderia ser menor. Pois as vezes aguardamos quase metade do dia.;Negativo
Mantenha o mesmo funcionário nesse atendimento que será rápido , solucionado sem complicações. Grata desde já;Positivo
A Débora foi muito atenciosa e gentil, nota mil, maravilhosa!;Positivo
Em breve retorno com mais informações;Neutro
Apenas uma demora para o início do atendimento. Acredito que seja demanda.;Negativo
Poderíamos alterar o status do imóvel de Venda para Locação e vice versa.;Neutro
Atendendente perde;Neutro
Excelente;Positivo
Fui atendida pela Hellen e foi esclarecedor o auxílio que recebi;Positivo
A carga não subiu e estou no aguardo, pois as alterações foram realizadas no site. Espero que o fato da carga subir apenas no próximo dia. Espero que este dia seja compensado;Neutro
Com certeza não vou dar continuidade com você.;Negativo
Retorno de resposta de e-mail e/ou whatsapp demorada e não solucionada referente ao não cumprimento dos serviços contratados na instabilidade de vários dias ocorrida.;Negativo
"Estou há quase 3 semanas com todas as fotos dos meus anúncios embaralhadas, estou tendo que arrumar uma por uma de 50 anúncios. 
É um retrabalho absurdo, fora o prejuízo. 
Uma foto atrativa chama a atenção do cliente e teve anúncio que ficou cono foto de capa, por exemplo: o pet place.
Caíram as visualizações e os leads.
Ninguém me retornou nem com 2 chamados abertos.";Negativo
Alto investimento para poucos contatos, muitas observações burocracia na inserção de anúncios, como CEP etc...;Negativo
Obrigado;Neutro
Olá, vie aqui que não tem a opção Kenlo;Neutro
https://feed-integration.ingaia.com.br/grupozap/f2190397-80a6-4f51-b6b9-cee0fc122b8c;Neutro
O atendimento foi muito satisfatório!;Positivo
Sempre que precisei fui atendido;Positivo
Atendimento virtual extremamente moroso.;Negativo
Agilidade no tempo das respostas;Negativo
Fiz o plano não obtive retorno e parei de pahar pedi uma promoção e não contigo;Negativo
Velocidade nos atendimentos. Não adianta ter muitos clientes e não conseguir atender a demanda. Vcs sempre estão muito ocupados para atender naquele momento.;Negativo
De novo demorou M torno de 2 horas o retorno;Negativo
"Péssimo atendimento 
Vcs alteram VSLOR Fotos sem nossa autorização a maioria dos meu anúncios que vcs alteraram continuam erradas. E os valores vcs baixam sem nossa autorização";Negativo
Hellen bem atenciosa e esclarecida;Positivo
acho que seria agregador para ambos lados , comentários especialistas na qualidade do anúncio... sugestões e tbm orientação em relação as oportunidades similares...;Neutro
Adorei o atendimento da Debora;Positivo
Somente agradecer!!!;Positivo
Fui muito bem atendido pelo(a) atendente;Positivo
Acho que a zap imóveis e a viva real estão precisando de campanhas publicitárias. Estão caindo no esquecimento do povo. O Instagram está passando vocês.;Negativo
Diminuição no prazo para resolução do problema;Negativo
demora para a resposta. solicitação enviada no dia anterior. tive que insistir para o atendimento ocorrer, enviando uma mensagem no dia seguinte. porém a hellen resolveu. contratem mais pessoas para o atendimento.;Negativo
Nada a acrescentar. Obrigado.;Neutro
Estou com dúvidas, em relação às fotos do meu anúncio. Não sei como alterar entre elas, para deixar a foto destaque. Obrigada.;Neutro
Excelente atendimento;Positivo
O atendimento foi rápido e eficiente!;Positivo
Valor muito alto, e não está me dando clientes.;Negativo
Ontem se o atendimento quando chamei pela primeira vez, tivesse sido mais rapido já teria solucionado o problema;Negativo
Muito bom o atendimento;Positivo
https://canalpro.grupozap.com/ZAP_OLX/0/listings?pageSize=10;Neutro
atendimento excelente;Positivo
Não adianta sugerir nada!;Negativo
Precisava fazer outra pergunta e o atendimento foi finalizado antes mesmo que eu pudesse responder;Negativo
Não obtive enfim contato pessoal;Negativo
Atendimento claro e objetivo e conseguiu sanar todas as dúvidas e problemas;Positivo
Ótimo atendimento;Positivo
Atendimento excelente pelo whatsapp, mas pelo chat tentei várias vezes e nunca tinha um atendente disponível. Tentei por e-mail, mas não tive retorno algum em 48hrs. Se os canais não estão disponíveis, não deveriam das essas opções;Negativo
insatisfeito com a prestação de serviço do site.;Negativo
ótimo atendimento, facilitou muito nas minhas duvidas!;Positivo
Poderiam reativar o contato telefônico, pois liguei e o número direciona para os canais digitais;Negativo
Gostei da agilidade;Positivo
Obrigado;Neutro
Gostei da agilidade.;Positivo
Não foi objetiva na resposta;Negativo
Mandei o e-mail dia 10/04 e só vieram me responder hoje dia 26/04, um absurdo esse tempo de resposta.;Negativo
Rápido e pratico;Positivo
ótimo atendimento, resolvi o meu problema! obrigada;Positivo
Atendimento rápido e atencioso;Positivo
Atendimento rápido e ao ponto;Positivo
ótimo atendimento;Positivo
dificuldade em contato e retorno por parte da empresa.;Negativo
Aumentar a disponibilidade de horários;Negativo
Depois que a olx comprou o zap.......só piorou;Negativo
Sempre atencioso s;Positivo
Protocolo aberto mas sem resposta;Negativo
Estou aguardando a atualização da plataforma;Neutro
Obrigado ??;Neutro
Ótimo atendimento;Positivo
Peço que meu pacote não seja cancelado pois já paguei meu boleto e estou aguardando a compensação no banco, desde já agradeço ?;Neutro
Melhor atendimento na central telefônica;Positivo
Gostei da agilidade e objetividade;Positivo
O tempo de espera é grande;Negativo
"A plataforma está uma bagunça e
Me
Gerando prejuízos. Melhorem por favor!";Negativo
Meu site está suspenso e nao tem nada em atraso;Negativo
"O atendimento do Alfredo foi ótimo. 
Só acho que se eu cancelei o plano não deveria continuar recebendo os boletos, e também desordeiros de, não poder mexer no Canal pro até no último em que meu plano já estava pago, tentei mexer na segunda-feira e não fui permitida.";Positivo
"Sim, a plataforma do OLX que era nossa principal ferramenta de veiculação não estamos conseguindo mexer nela. O aplicativo então está muito ruim, não nos permite nem consultar nossos anúncios pq nem aparecem. 
Portanto solicito a melhora do serviço nesse sentido. Grato";Negativo
Esclareceu muito bem as dúvidas;Positivo
atendimento rápido , ótimo;Positivo
Obrigado;Neutro
Achei um pouco demorado o tempo de resposta;Negativo
"A Mel foi muito prestativa e eficiente.
Ótimo atendimento.";Positivo
Atendimento excelente;Positivo
Fui bem atendida e recebi um email com instruções. Vou analisar. Obrigada.;Positivo
Atendimento muito bom, fiquei supreeendido.;Positivo
Para momento não!;Neutro
Estou tentando há muito tempo e colocar um anúncio de aluguel de um apartamento meu e não consigo não tenho o suporte de vocês não tem uma resposta de vocês não têm o call center de vocês péssimo serviço;Negativo
precisa urgente de ser como era antes ter a funcionaria para nos comunicarmos e explicar e resolver os problemas achoa uma alta falta de respeito conosco que somos clientes antigos e ficamos sendo prejudicados;Negativo
Nosso contrato está vencendo teve um reajuste completamente fora de todos os índices econômicos estamos tentando conversar cm vocês mas ninguém responde !!!;Negativo
Nada mais para ajudar na melhoria do Portal, depois do desgaste de relação comercial.;Negativo
Nada a comentar;Neutro
Otimo atendimento;Positivo
"Não vou mais anunciar nessa plataforma.
Obrigada por nada.";Negativo
Sistema com muita instabilidade de vcs ,sei que acontece porém tem que dar um desconto dessas falhas senão irão perder cliente;Negativo
Ajudou bastante;Positivo
Não a comentar foi um atendimento ágil e preciso, resolveu a minha necessidade sem perda de tempo;Positivo
Você tem o melhor atendimento do Brasil;Positivo
Entraram em contato 16 dias após nossa solicitação de ajuda para resolver o nosso problema. Em síntese, encontrar atendimento 16 dias depois com alegações de que estão com muito trabalho é no mínimo bizarro para uma empresa do porte do Grupo ZAP IMóveis. Curiosamente, no dia 21 já estavam cobrando a assinatura. Não temos mais interesse em trabalhar com o Grupo Zap. Atenciosamente;Negativo
Demorou muito esse retorno desde dia 28/3 tento colocar anúncio.;Negativo
Ainda demora muito pra concluirmos a conversa, porque vcs falam com várias pessoas ao mesmo tempo, então às vezes nos atrapalha;Negativo
Tudo ótimo;Positivo
Não resolveu meu problema por 3 dias;Negativo
O site está muito ruim, se eu atraso o pagamento vc desativam a minha página porém se eu fico sem atendimento ou a página fora do ar por muito tempo não sou ressarcido;Negativo
Não consigo postar o anúncio embora já tenha pago desde 04/04/2023, pois o site não aceita e pede para eu pagar novamente. Estou desde então solicitando atendimento do setor de suporte e ninguém me atende e resolve o problema;Negativo
Resolvido minha dúvida;Positivo
Olá! Vejo que quando se trata de cobrança vcs são rápidos, porem tive problema com fotos dos anúncios, não obtive resposta, apenas que havia instabilidade. Outro motivo é a mudança nos planos sem aviso prévio. Valores altos e sem resultados. Atualmente contratei outra plataforma para meus anúncios muito mais eficiente.;Negativo
Bom;Positivo
Só não classifiquei como excelente em função da demora pelo atendimento. Porém, o atendimento da Thaisa foi muito gentil e eficiente.;Positivo
Respondem rápido;Positivo
A atendente THAISSA T. do chat foi super educada e rápida nas respostas apesar de estar fazendo multi atendimentos. A minha solicitação foi resolvida parcialmente. Mas a quantidade de leads diminuiu muito de 2 meses para cá. Gostaria de solicitar maior atenção e dedicação para melhoria geral. Outra coisa, as vezes o problema é grave e o atendimento é longo. Vcs precisam por mais at;Positivo
O canal pro precisa colocar um atendimento via telefone para que seus clientes possam ser atendidos o mais rápido possível e para que tb possamos falar diretamente com a empresa, manter contato digital nem sempre é a melhor solução.;Neutro
Fui muito bem atendido!;Positivo
Vcs escolhem atender dependendo qual o problema. Todas as vezes que eu disse cancelamento, falava que não tinha atendente disponível, como falei que era problema no anuncio aí milagrosamente apareceu um atendente.;Negativo
Obrigada;Neutro
Vocês precisam retirar anúncios reportados mais rapidamente. Eles atrapalham as vendas dos anúncios reais.;Negativo
Tudo certo, sempre bem atendida.;Positivo
Gratidão;Positivo
Eu gostei muito do atendimento e da agilidade da resolução do problema que citei. Os atendentes são muito simpáticos.;Positivo
MELHORAR A QUESTÃO DO ALUGUEL TEMPORADA, NA OLX A DIARIA SAI VALOR MENSAL, JÁ TIVE RECLAMAÇÕES DE CLIENTES;Negativo
Objetividade na indicação da solução do problema.??;Neutro
O suporte é demorado e nada resolve. O problema demorou quase 2 semanas para ser resolvido. E não sei se amanhã não vai voltar a apresentar o mesmo problema - que é não atualizar as cargas. Exijo uma bonificação!;Negativo
Problema parcialmente resolvido, pois vamos corrigir o cadastro dos imóveis hoje, e somente amanhã vamos verificar se a nota de qualidade aumentou.;Neutro
O atendimento está rápido e eficaz, mantenham -se assim!;Positivo
"Solicitei o estorno do meu cartão de crédito desde o início do mês de abril e até o momento nada de resolver.
Na hora de cobrar é muito rápido. 
Dei o prazo até hoje caso contrario irei entrar com uma ação judicial.";Negativo
Tentei negociar um plano não houve sucesso;Negativo
"Meu telefone aparece errado e a resposta diz que não há solução porque o sistema de vocês não aceita um número internacional.

Estou vendendo um apartamento em São Paulo, moro na Espanha, o mundo está digitalizado - assino inclusive contratos no Brasil a partir daqui e vejo portanto que vocês estão obsoletos com relação às necessidades dos clientes.";Negativo
Precisa de mais agilidade para solucionar os problemas;Negativo
Sequer recebi qualquer retorno da equipe de vocês. Não possuem acesso telefônico e o e-mail ninguém responde. Pelo alto preço que cobram, o serviço de atendimento ao cliente de vocês consegue alcançar uma categoria pior que péssimo!!!!;Negativo
Atendimento rápido, atendente esclareceu as dúvidas, foi educada e paciente.;Positivo
"Eu liguei para solicitar um aumento no meu plano. O atendente disse que eu já havia solicitado isto através do chat e que um consultor entraria em contato em até 48 horas ""úteis"" (sic). Nunca vi uma empresa se negar a atender um cliente que pretende aumentar o gasto com esta empresa. É lamentável que o atendimento seja tão ruim e que desperdice o tempo do cliente.";Negativo
Obrigado;Neutro
mais agilidade para resolver as coisas;Negativo
A atendente disse que não existia a possibilidade de fazer minha solicitação , e depois eu mesma mexendo no portal achei onde fazia , e ela disse que esse lugar não existia . Em fim eu consegui resolver sozinha porque ela não sabia que existia o caminho para realizar minha solicitação;Negativo
o atendente foi otimo e atencioso, agora a plataforma ainda tenho minhas dúvidas;Positivo
Gente mil desculpas , o valor do estorno ja constava no mesmo dia no cartão la. Eu que nao olhei, to todo esse tempo enchendo saco de vocês. Que burro! Serei mais cuidadoso da próxima vez.;Neutro
obrigada];Neutro
Ser mais rápido.;Negativo
O chat foi interrompido antes de resolverem o problema;Negativo
Preciso falar novamente com a analista;Neutro
Rápido e prático!;Positivo
A empresa não é clara em passar informações, principalmente em relação a desconto. Além disso não sou notificada quando há conversa no chat da OLX;Negativo
Quando fiz o pacote fui bem orientado pelo vendedor e so fiz pq precisaria usar pareamento com o meu site. Acontece que tecnicamente falando sou leigo, pedi uma prorrogação de prazo no meu boleto, visto que não pareou no dia que fiz a inserção no sistema, inclusive mandei um print da tela. E foram muito rispido na resposta. Inclusive estou pensando sériamente se continuarei;Negativo
Pedro foi rápido e muito atencioso, adorei;Positivo
A empresa não é clara em prestar informações ao cliente. Especialmente referente a promoções, levando a interpretações errôneas. Também não notifica quando há chamada de chat pelo site da OLX. Não está valendo a pena divulgar pela plataforma de vocês. Não disponibiliza o super destaque.;Negativo
Atendimento excelente!;Positivo
Problemas mas o aplicativo Zap Imóveis, poderiam deixar todos os títulos por igual como é mostrado em navegadores de PC e smartphone;Neutro
Bem, iniciando novo contrato com Zap. No anterior o atendimento era deficiente e acabei saindo e migrando para outras plataformas. Vou observar de agora em diante se melhorou.;Negativo
ZAP IMÓVEIS É UMA EMPRESA INCOMPETÊNCIA. ME ACUSA DE DESCUMPRIR AS CONDIÇÕES DE USO DO SERVIÇO QUE NÃO CONTRATEI, FALTA DE TRANSFERÊNCIA E HONESTIDADE. EXIJO REEMBOLSO!;Negativo
"Foi super rápido
E resolvido
Atendendo pro ativo!";Positivo
Demora no atendimento, não resolve tudo na hora, fiquei em dúvida pois não sei mexer em quase nada, dificuldade em encontrar uma pessoa que ajude.;Negativo
Vou acompanhar;Neutro
Foi atendida rapidamente;Positivo
Fui encaminhado para a solução, valeu ter este canal de apoio;Positivo
Há muita demora no retorno de algumas imobiliárias. Os telefones são pouco acessíveis . Muitas vezes os imóveis pelos quais nós interessamos já foram locados, tamanha morosidade. Estou muito desapontada com o serviço.;Negativo
Me interessei por vários imóveis e não obtive atendimento para nenhum, só recebi e-mail com um telefone que não consigo falar, parece descaso.;Negativo
Hoje a resposta foi bem rápida, não fiquei esperando como das outras vezes;Positivo
Peço encarecidamente que preparem melhor a equipe do financeiro...pois tive resolver erro do mesmo ...me enviando boleto com data do ano passado como vencimento atual;Negativo
Nada a relatar;Neutro
Nada a comentar;Neutro
Tudo ótimo. Prático e rápido ?;Positivo
Atendimento rápido e objetivo feito pela atendente Rebecca!;Positivo
fui muito bem atendido !!!;Positivo
A atendente foi muito gentil, só estou no aguardo do vídeo que vai me ajudar a postar melhor;Neutro
Nada a relatar;Neutro
Atendimento rápido e explicações práticas e assertivas;Positivo
Dúvida resolvido;Positivo
A atendente Paola é muito eficiente e gentil. Atc. Claudia (anunciante ZAP);Positivo
Após um problema de login, a atendente Rebeca me ajudou, e tive o meu problema resolvido, além disso, ela foi bem paciente em me aguardar enquanto eu fazia os procedimentos. Ao que vejo como consumidor, temos um diferencial aqui, mantenham essa pessoa na equipe tratem bem, remunerem bem que vocês terão essa jóia sempre por perto, caso contrario perderão para concorrência.;Positivo
Prazo de retorno;Negativo
Excelente atendimento! Pessoa atenciosa e ágil!;Positivo
Não desejo comentar;Neutro
Poderia ter mais proatividade da parte do atendimento;Neutro
Até agora tá sendo uma experiência ótima, tanto na plataforma tanto no atendimento;Positivo
"Para conversar no Watzaap estar muito lendo a gente pergunta, e não temos resposta, só após 30, 40 ou mais minutos é que respondem quando respondem, ligando é bem
Mais rápido e o pessoal nos dar maior atenção. Boa tarde";Neutro
Agilidade;Positivo
Muito obrigado pelo rápido atendimento;Positivo
sem comentário;Neutro
Só não estou achando a opção de abrir as mensagens de chat que chegam até mim;Neutro
"Tinha que ter a opção péssimo. Eu ainda quero continuar utilizando o serviço de vocês, mas nem ao menos uma ligação eu recebi. Mesmo não recebendo nenhum lead ou visualização e ninguém me atende? Que isto, se eu fizesse isto passaria fome mesmo. 
Tá louco. Péssimo péssimo péssimo.";Negativo
Espero que seja resolvido como o prometido;Neutro
Demorou demais;Negativo
Excelente atendimento feito pela atendente.;Positivo
"Solicitei atendimento, para tratar preço. Não tenho retorno.
Att;
Nilda";Neutro
Hellen maravilhosa desde sempre! ?;Positivo
Vocês estão cobrando um valor alto nos anúncios com pouco retorno, eu mês de abril recebi apenas 4leds e quando entro em contato para buscar uma solução, vocês transferem a culpa pra mim dizendo que é por causa da nota do anúncio, muito triste, o cliente serve apenas para pagar boleto.;Negativo
Obrigado por resolver o meu problema, atenção...;Positivo
Tudo resolvido a contendo;Positivo
Rapido e eficiente;Positivo
Estou com problema na divulgação dos meus imóveis, faz meses. Entrarei em contato com a Kenlo para verificar a integração.;Negativo
O atendente João me disse que dentro de 24 horas meu problema estará resolvido, e eu fui muito bem atendido;Positivo
sem comentário no momento;Neutro
continuem assim;Positivo
Atendimento satisfatório;Positivo
Atendimento precioso;Positivo
Não tive vendas não sei o que aconteceu.;Negativo
DEBORA FOI EFICAZ E RAPIDA, ADOREI O ATENDIMENTO.;Positivo
Atendimento demorado e o atendente não dirige às dúvidas.;Negativo
Menos espera por um atendimento;Negativo
atendimento excelente;Positivo
